"Ticks","Cycles","Counter"
3992,4,712
3993,4,713
3993,4,714
3993,4,715
3993,4,716
3994,4,717
3994,4,718
3994,4,719
3995,4,720
3995,4,721
3995,4,722
3996,4,723
3996,4,724
3996,4,725
3996,4,726
3997,4,727
3997,4,728
3997,4,729
3998,4,730
3998,4,731
3998,4,732
3998,4,733
3999,4,734
3999,4,735
3999,4,736
4000,4,737
4000,4,738
4000,4,739
4000,4,740
4001,4,741
4001,4,742
4001,4,743
4002,4,744
4002,4,745
4002,4,746
4002,4,747
4003,4,748
4003,4,749
4003,4,750
4004,4,751
4004,4,752
4004,4,753
4004,4,754
4005,4,755
4005,4,756
4005,4,757
4006,4,758
4006,4,759
4006,4,760
4006,4,761
4007,4,762
4007,4,763
4007,4,764
4008,4,765
4008,4,766
4008,4,767
4008,4,768
4009,4,769
4009,4,770
4009,4,771
4010,4,772
4010,4,773
4010,4,774
4010,4,775
4011,4,776
4011,4,777
4011,4,778
4012,4,779
4012,4,780
4012,4,781
4012,4,782
4013,4,783
4013,4,784
4013,4,785
4014,4,786
4014,4,787
4014,4,788
4015,4,789
4015,4,790
4015,4,791
4015,4,792
4016,4,793
4016,4,794
4016,4,795
4017,4,796
4017,4,797
4017,4,798
4017,4,799
4018,4,800
4018,4,801
4018,4,802
4019,4,803
4019,4,804
4019,4,805
4019,4,806
4020,4,807
4020,4,808
4020,4,809
4021,4,810
4021,4,811
4021,4,812
4021,4,813
4022,4,814
4022,4,815
4022,4,816
4023,4,817
4023,4,818
4023,4,819
4023,4,820
4024,4,821
4024,4,822
4024,4,823
4025,4,824
4025,4,825
4025,4,826
4025,4,827
4026,4,828
4026,4,829
4026,4,830
4027,4,831
4027,4,832
4027,4,833
4027,4,834
4028,4,835
4028,4,836
4028,4,837
4029,4,838
4029,4,839
4029,4,840
4029,4,841
4030,4,842
4030,4,843
4030,4,844
4031,4,845
4031,4,846
4031,4,847
4031,4,848
4032,4,849
4032,4,850
4032,4,851
4033,4,852
4033,4,853
4033,4,854
4034,4,855
4034,4,856
4034,4,857
4034,4,858
4035,4,859
4035,5,860
4035,5,861
4036,5,862
4036,5,863
4036,5,864
4036,5,865
4037,5,866
4037,5,867
4037,5,868
4038,5,869
4038,5,870
4038,5,871
4038,5,872
4039,5,873
4039,5,874
4039,5,875
4040,5,876
4040,5,877
4040,5,878
4040,5,879
4041,5,880
4041,5,881
4041,5,882
4042,5,883
4042,5,884
4042,5,885
4042,5,886
4043,5,887
4043,5,888
4043,5,889
4044,5,890
4044,5,891
4044,5,892
4044,5,893
4045,5,894
4045,5,895
4045,5,896
4046,5,897
4046,5,898
4046,5,899
4046,5,900
4047,5,901
4047,5,902
4047,5,903
4048,5,904
4048,5,905
4048,5,906
4048,5,907
4049,5,908
4049,5,909
4049,5,910
4050,5,911
4050,5,912
4050,5,913
4050,5,914
4051,5,915
4051,5,916
4051,5,917
4052,5,918
4052,5,919
4052,5,920
4053,5,921
4053,5,922
4053,5,923
4053,5,924
4054,5,925
4054,5,926
4054,5,927
4055,5,928
4055,5,929
4055,5,930
4055,5,931
4056,5,932
4056,5,933
4056,5,934
4057,5,935
4057,5,936
4057,5,937
4057,5,938
4058,5,939
4058,5,940
4058,5,941
4059,5,942
4059,5,943
4059,5,944
4059,5,945
4060,5,946
4060,5,947
4060,5,948
4061,5,949
4061,5,950
4061,5,951
4061,5,952
4062,5,953
4062,5,954
4062,5,955
4063,5,956
4063,5,957
4063,5,958
4063,5,959
4064,5,960
4064,5,961
4064,5,962
4065,5,963
4065,5,964
4065,5,965
4065,5,966
4066,5,967
4066,5,968
4066,5,969
4067,5,970
4067,5,971
